D= 1216
 GENUS#34;P=2; 4096; [H]+[14]+[40]
 GENUS#34;P=3; 16/3; [1]+[1]+[1]+[3]
 GENUS#34;P=7; 96/7; [1]+[1]+[1]+[21]
 GENUS#35;P=2; 49152; [1]+[3]+[4 H]
 GENUS#35;P=3; 16/3; [1]+[1]+[2]+[6]
 GENUS#35;P=7; 96/7; [1]+[1]+[1]+[21]
 GENUS#36;P=2; 4096; [H]+[4]+[12]
 GENUS#36;P=3; 16/3; [1]+[1]+[2]+[6]
 GENUS#36;P=7; 96/7; [1]+[1]+[1]+[21]
 GENUS#37;P=2; 49152; [1]+[3]+[4 H]
 GENUS#37;P=3; 16/3; [1]+[1]+[1]+[3]
 GENUS#37;P=7; 96/7; [1]+[1]+[3]+[7]
 GENUS#38;P=2; 12288; [H]+[8 A]
 GENUS#38;P=3; 16/3; [1]+[1]+[1]+[3]
 GENUS#38;P=7; 96/7; [1]+[1]+[1]+[21]

D= 1360
 GENUS#16;P=2; 1536; [H]+[4 A]
 GENUS#16;P=5; 48/5; [1]+[1]+[1]+[10]
 GENUS#16;P=17; 576/17; [1]+[1]+[3]+[17]

D= 1408
 GENUS#24;P=2; 196608; [5]+[2 A]+[40]
 GENUS#24;P=11; 240/11; [1]+[1]+[2]+[11]
 GENUS#25;P=2; 16384; [H]+[2]+[80]
 GENUS#25;P=11; 240/11; [1]+[1]+[2]+[11]
 GENUS#26;P=2; 16384; [H]+[4]+[40]
 GENUS#26;P=11; 240/11; [1]+[1]+[1]+[22]
 GENUS#27;P=2; 16384; [H]+[14]+[48]
 GENUS#27;P=11; 240/11; [1]+[1]+[1]+[22]
 GENUS#28;P=2; 65536; [7]+[2 H]+[24]
 GENUS#28;P=11; 240/11; [1]+[1]+[2]+[11]

D= 1472
 GENUS#16;P=2; 49152; [1]+[2 A]+[20]
 GENUS#16;P=23; 1056/23; [1]+[1]+[5]+[115]
 GENUS#17;P=2; 16384; [7]+[2 H]+[28]
 GENUS#17;P=23; 1056/23; [1]+[1]+[5]+[115]
 GENUS#18;P=2; 8192; [H]+[28]+[28]
 GENUS#18;P=23; 1056/23; [1]+[1]+[5]+[115]
 GENUS#19;P=2; 32768; [1]+[3]+[2]+[10]
 GENUS#19;P=23; 1056/23; [1]+[1]+[5]+[115]
 GENUS#20;P=2; 98304; [7]+[7]+[4 H]
 GENUS#20;P=23; 1056/23; [1]+[1]+[5]+[115]

D= 1488
 GENUS#16;P=2; 1536; [H]+[4 A]
 GENUS#16;P=3; 16/3; [1]+[1]+[2]+[6]
 GENUS#16;P=31; 1920/31; [1]+[1]+[1]+[93]

D= 1536
 GENUS#32;P=2; 2097152; [5]+[2]+[14]+[8]
 GENUS#32;P=3; 16/3; [1]+[1]+[2]+[3]
 GENUS#33;P=2; 2097152; [5]+[2]+[2]+[56]
 GENUS#33;P=3; 16/3; [1]+[1]+[2]+[3]
 GENUS#34;P=2; 786432; [1]+[2 A]+[32]
 GENUS#34;P=3; 16/3; [1]+[1]+[1]+[6]
 GENUS#35;P=2; 6291456; [1]+[10]+[8 H]
 GENUS#35;P=3; 16/3; [1]+[1]+[1]+[6]
 GENUS#36;P=2; 6291456; [5]+[4 H]+[8]
 GENUS#36;P=3; 16/3; [1]+[1]+[2]+[3]
 GENUS#37;P=2; 1048576; [1]+[7]+[6]+[112]
 GENUS#37;P=3; 16/3; [1]+[1]+[2]+[3]
 GENUS#38;P=2; 131072; [H]+[4]+[160]
 GENUS#38;P=3; 16/3; [1]+[1]+[1]+[6]
 GENUS#39;P=2; 65536; [H]+[6]+[448]
 GENUS#39;P=3; 16/3; [1]+[1]+[2]+[3]
 GENUS#40;P=2; 131072; [H]+[40]+[16]
 GENUS#40;P=3; 16/3; [1]+[1]+[1]+[6]
 GENUS#41;P=2; 131072; [H]+[8]+[80]
 GENUS#41;P=3; 16/3; [1]+[1]+[2]+[3]
 GENUS#42;P=2; 262144; [3]+[2 H]+[224]
 GENUS#42;P=3; 16/3; [1]+[1]+[1]+[6]
 GENUS#43;P=2; 131072; [H]+[12]+[224]
 GENUS#43;P=3; 16/3; [1]+[1]+[1]+[6]
 GENUS#44;P=2; 262144; [7]+[2 H]+[96]
 GENUS#44;P=3; 16/3; [1]+[1]+[2]+[3]
 GENUS#45;P=2; 196608; [A]+[10]+[320]
 GENUS#45;P=3; 16/3; [1]+[1]+[1]+[6]
 GENUS#46;P=2; 393216; [A]+[20]+[160]
 GENUS#46;P=3; 16/3; [1]+[1]+[1]+[6]
 GENUS#47;P=2; 393216; [A]+[40]+[80]
 GENUS#47;P=3; 16/3; [1]+[1]+[1]+[6]
 GENUS#48;P=2; 393216; [A]+[28]+[224]
 GENUS#48;P=3; 16/3; [1]+[1]+[1]+[6]
 GENUS#49;P=2; 1048576; [1]+[7]+[4]+[40]
 GENUS#49;P=3; 16/3; [1]+[1]+[1]+[6]
 GENUS#50;P=2; 6291456; [1]+[4 H]+[40]
 GENUS#50;P=3; 16/3; [1]+[1]+[1]+[6]
 GENUS#51;P=2; 1048576; [1]+[3]+[10]+[80]
 GENUS#51;P=3; 16/3; [1]+[1]+[1]+[6]
 GENUS#52;P=2; 1048576; [1]+[7]+[14]+[48]
 GENUS#52;P=3; 16/3; [1]+[1]+[1]+[6]
 GENUS#53;P=2; 2097152; [7]+[7]+[4]+[24]
 GENUS#53;P=3; 16/3; [1]+[1]+[2]+[3]
 GENUS#54;P=2; 2097152; [7]+[7]+[20]+[56]
 GENUS#54;P=3; 16/3; [1]+[1]+[1]+[6]
